-0.042468,-0.061527,0.038293
-0.052241,-0.086236,0.088258
-0.062353,-0.112693,0.143432
-0.073141,-0.142635,0.208995
-0.084687,-0.176964,0.288079
-0.096636,-0.21516,0.380317
-0.10859,-0.25656,0.485009
-0.120094,-0.30048,0.601664
-0.130655,-0.346215,0.729948
-0.139734,-0.392968,0.869307
-0.146563,-0.439421,1.017949
-0.150294,-0.484079,1.173651
-0.150063,-0.525398,1.333823
-0.144967,-0.56173,1.495032
-0.134107,-0.591432,1.653746
-0.116882,-0.613421,1.80685
-0.09299,-0.627193,1.951661
-0.062275,-0.632448,2.085744
-0.025582,-0.630272,2.208405
0.015776,-0.622398,2.319773
0.060311,-0.610579,2.420155
0.106001,-0.596605,2.510416
0.150725,-0.582265,2.591522
0.192644,-0.568839,2.664168
0.230313,-0.556916,2.728671
0.262373,-0.546989,2.785301
0.288141,-0.539081,2.834161
0.307357,-0.532914,2.87524
0.319861,-0.528168,2.908566
0.325893,-0.524348,2.934325
0.325801,-0.520908,2.952751
0.320022,-0.517269,2.964186
0.309146,-0.512783,2.969175
0.293793,-0.5068,2.968287
0.274741,-0.498793,2.962175
0.2529,-0.488336,2.951561
0.229184,-0.475044,2.937157
0.204495,-0.458755,2.919611
0.179726,-0.43939,2.899549
0.155687,-0.416946,2.877542
0.132965,-0.391605,2.854035
0.112109,-0.363577,2.829449
0.09351,-0.333156,2.804101
0.077379,-0.300726,2.778195
0.063903,-0.266673,2.75191
0.053111,-0.231376,2.725278
0.044957,-0.19521,2.698255
0.039365,-0.158526,2.670773
0.036165,-0.121592,2.642672
0.035167,-0.084663,2.613775
0.03616,-0.04795,2.583896
0.038904,-0.011606,2.55284
0.043156,0.024225,2.520413
0.048667,0.059436,2.486444
0.055183,0.093944,2.450778
0.062455,0.127672,2.413268
0.070252,0.16054,2.373809
0.078346,0.192471,2.332304
0.086527,0.223385,2.288676
0.094618,0.253192,2.242869
0.102445,0.281798,2.194835
0.109863,0.309104,2.14455
0.116752,0.334997,2.092007
0.122995,0.359365,2.037209
0.128504,0.382078,1.98019
0.133201,0.402997,1.921003
0.137019,0.421981,1.859715
0.139915,0.438881,1.796441
0.141851,0.453545,1.731304
0.142802,0.465832,1.66445
0.142755,0.475615,1.596046
0.141701,0.482772,1.526268
0.139658,0.487225,1.455325
0.136655,0.48892,1.383445
0.132731,0.487818,1.310868
0.12796,0.48395,1.237863
0.122422,0.477359,1.164709
0.116209,0.468126,1.091699
0.109427,0.456388,1.019149
0.102187,0.442293,0.947376
0.094601,0.426038,0.876693
0.086788,0.407856,0.807409
0.078864,0.387992,0.739829
0.070939,0.366739,0.674233
0.063123,0.344408,0.610893
0.055515,0.32131,0.550065
0.0482,0.297759,0.491965
0.041261,0.274067,0.436807
0.034758,0.250517,0.384762
0.028733,0.227359,0.335969
0.023224,0.204835,0.290555
0.01825,0.183133,0.248607
0.013818,0.162414,0.210194
0.00993,0.142809,0.175336
0.006558,0.124355,0.143908
0.003674,0.107071,0.115763
0.001263,0.091043,0.09087
-0.000671,0.076433,0.069351
-0.002131,0.063367,0.051252
-0.003233,0.05151,0.035766
-0.004154,0.04026,0.021591